IDATE,COMM,LOSS
1985,CRUDE OIL,60.0
1985,CRUDE OIL,360.0
1985,CRUDE OIL,76.0
1985,CRUDE OIL,570.0
1985,CRUDE OIL,10.0
1985,CRUDE OIL,50.0
1985,CRUDE OIL,5980.0
1985,CRUDE OIL,60.0
1985,CRUDE OIL,1451.0
1985,CRUDE OIL,145.0
1985,CRUDE OIL,640.0
1985,CRUDE OIL,3.0
1985,CRUDE OIL,125.0
1985,CRUDE OIL,190.0
1985,CRUDE OIL,3337.0
1985,CRUDE OIL,415.0
1985,CRUDE OIL,12000.0
1985,CRUDE OIL,901.0
1985,CRUDE OIL,8000.0
1985,CRUDE OIL,100.0
1985,CRUDE OIL,100.0
1985,CRUDE OIL,1000.0
1985,CRUDE OIL,3.0
1985,CRUDE OIL,5.0
1985,CRUDE OIL,175.0
1985,CRUDE OIL,250.0
1985,CRUDE OIL,130.0
1985,CRUDE OIL,3950.0
1986,CRUDE OIL,400.0
1986,CRUDE OIL,200.0
1986,CRUDE OIL,3000.0
1986,CRUDE OIL,1300.0
1986,CRUDE OIL,970.0
1986,CRUDE OIL,300.0
1986,CRUDE OIL,500.0
1986,CRUDE OIL,119.0
1986,CRUDE OIL,2220.0
1986,CRUDE OIL,400.0
1986,CRUDE OIL,130.0
1986,CRUDE OIL,327.0
1986,CRUDE OIL,350.0
1986,CRUDE OIL,1550.0
1986,CRUDE OIL,1300.0
1986,CRUDE OIL,200.0
1986,CRUDE OIL,10020.0
1986,CRUDE OIL,160.0
1986,CRUDE OIL,200.0
1986,CRUDE OIL,200.0
1986,CRUDE OIL,378.0
1986,CRUDE OIL,4111.0
1986,CRUDE OIL,294.0
1986,CRUDE OIL,150.0
1986,CRUDE OIL,60.0
1986,CRUDE OIL,80.0
1986,CRUDE OIL,300.0
1986,CRUDE OIL,690.0
1986,CRUDE OIL,555.0
1986,CRUDE OIL,0.0
1986,CRUDE OIL,270.0
1986,CRUDE OIL,0.0
1986,CRUDE OIL,148.0
1986,CRUDE OIL,75.0
1986,CRUDE OIL,100.0
1986,CRUDE OIL,280.0
1986,CRUDE OIL,12500.0
1986,CRUDE OIL,400.0
1986,CRUDE OIL,300.0
1986,CRUDE OIL,65.0
1986,CRUDE OIL,100.0
1986,CRUDE OIL,350.0
1986,CRUDE OIL,50.0
1986,CRUDE OIL,5037.0
1986,CRUDE OIL,5918.0
1986,CRUDE OIL,360.0
1986,CRUDE OIL,660.0
1986,CRUDE OIL,700.0
1986,CRUDE OIL,7000.0
1986,CRUDE OIL,2300.0
1986,CRUDE OIL,5577.0
1986,CRUDE OIL,2000.0
1986,CRUDE OIL,150.0
1986,CRUDE OIL,140.0
1986,CRUDE OIL,406.0
1986,CRUDE OIL,0.0
1986,CRUDE OIL,255.0
1986,CRUDE OIL,61.0
1986,CRUDE OIL,2800.0
1986,CRUDE OIL,530.0
1986,CRUDE OIL,250.0
1986,CRUDE OIL,412.0
1986,CRUDE OIL,90.0
1986,CRUDE OIL,1845.0
1986,CRUDE OIL,984.0
1986,CRUDE OIL,119.0
1986,CRUDE OIL,15.0
1986,CRUDE OIL,265.0
1986,CRUDE OIL,75.0
1986,CRUDE OIL,365.0
1986,CRUDE OIL,3.0
1986,CRUDE OIL,300.0
1986,CRUDE OIL,14000.0
1986,CRUDE OIL,1.0
1986,CRUDE OIL,170.0
1986,CRUDE OIL,50.0
1986,CRUDE OIL,750.0
1986,CRUDE OIL,2.0
1986,CRUDE OIL,568.0
1986,CRUDE OIL,336.0
1986,CRUDE OIL,145.0
1986,CRUDE OIL,99.0
1986,CRUDE OIL,4000.0
1986,CRUDE OIL,88.0
1986,CRUDE OIL,400.0
1986,CRUDE OIL,70.0
1986,CRUDE OIL,1.0
1986,CRUDE OIL,275.0
1986,CRUDE OIL,320.0
1986,CRUDE OIL,420.0
1986,CRUDE OIL,100.0
1986,CRUDE OIL,1000.0
1986,CRUDE OIL,2751.0
1986,CRUDE OIL,75.0
1986,CRUDE OIL,1250.0
1986,CRUDE OIL,120.0
1986,CRUDE OIL,10.0
1986,CRUDE OIL,40.0
1986,CRUDE OIL,150.0
1986,CRUDE OIL,90.0
1986,CRUDE OIL,4.0
1986,CRUDE OIL,400.0
1987,CRUDE OIL,150.0
1986,CRUDE OIL,380.0
1986,CRUDE OIL,110.0
1986,CRUDE OIL,320.0
1986,CRUDE OIL,1300.0
1986,CRUDE OIL,120.0
1987,CRUDE OIL,1700.0
1987,CRUDE OIL,1600.0
1987,CRUDE OIL,60.0
1987,CRUDE OIL,150.0
1987,CRUDE OIL,0.0
1987,CRUDE OIL,7.0
1987,CRUDE OIL,125.0
1987,CRUDE OIL,500.0
1987,CRUDE OIL,345.0
1987,CRUDE OIL,825.0
1987,CRUDE OIL,695.0
