IYEAR,COMM,LOSS,LATITUDE,LONGITUDE
2002,CRUDE OIL,10.0,33.03.607,097.35.244
2002,CRUDE OIL,12.0,36 02.635 N,107 36.852W
2002,CRUDE OIL,300.0,35 25' 54.61,98 56' 37.7
2002,CRUDE OIL,15.0,35 03.45N,119 03.53W
2002,CRUDE OIL,150.0,N32 00207,W 102 02.433
2002,PETROLEUM CRUDE OIL,1.0,37 02' 43,101 31' 17W
2002,CRUDE OIL,10.0,N34 59 07.1,W101 48 58.1
2002,CRUDE OIL,18.0,38 37 20,94 30 30
2002,PETROLEUM CRUDE OIL,7.0,N36 58.757',W 100 56.699'
2002,CRUDE OIL,1.0,2920015,08938214
2002,CRUDE OIL,40.0,N 31 15.894,W 100 48.795
2002,CRUDE OIL,10.0,"46* 41' 17""","-92* 3' 25"""
2002,CRUDE OIL,50.0,47° 22' 40,-95° 24' 44
2002,CRUDE OIL,1.0,47° 22 40,-94° 38' 17
2002,CRUDE OIL,50.0,47° 22' 40,-94° 38' 15
2002,CRUDE OIL,35.0,35-30.58 N,098-31.304W
2002,PETROLEUM CRUDE OIL,20.0,33 17' 29,98.26' 15
2002,CRUDE OIL,30.0,W 118 12.602',N 33 46.144'
2002,CRUDE OIL,633.0,43 03.65'N,106 35.24'W
2002,CRUDE OIL,35.0,N33 0.44',W102 58.542'
2002,CRUDE OIL,600.0,N33 3' 20.4,W 99 56' 33.3
2002,CRUDE OIL,180.0,47 14.7,-95.8386
2002,CRUDE OIL,450.0,25.690,37.431
2002,CRUDE OIL,85.0,36 38' 46 N,101 20' 59W
2002,CRUDE OIL,1.0,46° 41' 30,-92° 03' 35
2002,CRUDE OIL,1.0,35 -29.238,098 -38.901
2002,CRUDE OIL,4.0,W 0-97 46.165,N&S 34 27.799
2002,CRUDE OIL,1800.0,29.5278N,90.1948W
2002,CRUDE OIL,25.0,37.1841,-88.8882
2002,PETROLEUM CRUDE OIL,600.0,N34 D 30.653',W97 24.458'
2002,MID-CONTINENT SWEET CRUDE OIL,3261.0,N38.819432,W 90.018871
2002,PETROLEUM CRUDE OIL,75.0,N 35D 6.718',W 97D 3.307'
2002,CRUDE OIL,1.0,N 33 47.093',W100 03.251'
2002,CRUDE OIL,50.0,31 51' 38N,099 14' 16W
2002,CRUDE OIL,4.0,34.209612,-97.544302
2002,CRUDE OIL,10.0,26  28.40N,108  07.61W
2002,CRUDE OIL,10.0,W29 13' 13,N89 23' 46
2002,CRUDE OIL,20.0,39 59' 516N,"95 59' 431""W"
2002,CRUDE OIL,270.0,97 31.2 W,27 50.1N
2002,CRUDE OIL,10.0,97 31.2 W,27 50.1 N
2002,CRUDE OIL,100.0,36 10.64 N,108 20.50 W
2002,CRUDE OIL,1.0,N 31 14' 7,W89 15' 5'
2002,CRUDE OIL,1050.0,N27 49' 56,W 97 89' 85
2002,CRUDE OIL,75.0,"N27 48' 93""","W 97 28' 13"""
2002,CRUDE OIL,45.0,42.13.30N,104.41.11W
2002,CRUDE OIL,20.0,39.83771667,84.46466667
2002,CRUDE OIL,10.0,35.2634,-119.0743
2002,CRUDE OIL,3.0,N 35 51.519,W 097 14.832
2002,CRUDE OIL,9.0,N 34 29.042,W 97 32.902
2002,PETROLEUM CRUDE OIL,42.0,37 48' 09 N,97 22' 22
2002,PETROLEUM CRUDE OIL,1.0,37 48' 03 N,97 22' 17 W
2002,CRUDE OIL,20.0,N 32 29.202,W 94 50.789
2002,PETROLEUM CRUDE OIL,50.0,37 52'.12N,97 13'.55W
2002,CRUDE OIL,21.0,37 02'.730,101 51'.287W
2002,CRUDE OIL,14.0,44.816077,-108.49986
2002,CRUDE OIL,1.0,N 35 04.016,W 097 25.352
2002,CRUDE OIL,6000.0,47° 16' 9,-93° 38' 10
2002,CRUDE OIL,25.0,-95.2847,29.7951
2002,CRUDE OIL,10.0,37.9784,122.0302
2002,CRUDE OIL,30.0,35 16',119 20'
2002,CRUDE OIL,2.0,35 03.3',119 18.6'
2002,CRUDE OIL,4.0,N30 44.685,W 101 40.865
2002,CRUDE OIL,63.0,84'00'46.335,118'05'40.683
2002,CRUDE OIL,2.0,35.9555,-96.7535
2002,CRUDE OIL,15.0,25.647,37.353
2002,CRUDE OIL SOUR,2.0,N32.41.304,W102.38.855
2002,CRUDE OIL,7.0,-120.35,36.18
2002,CRUDE OIL,500.0,N36 09.630',W 108 20.918'
2002,CRUDE OIL & NAPTHA,20.0,43 14 MIN 57.43 SEC,93 21 MIN 34.22
2002,CRUDE OIL,50.0,35 28.363 MIN.N,98 44.160 MIN.W
2002,CRUDE OIL,5.0,36.270853,-101.513192
2002,CRUDE OIL,15.0,34.202118,-97.346260
2002,CRUDE OIL,2.0,N 31 52.463,W 88 59.423
2002,CRUDE OIL,5.0,31 42.652 N,89 53.561 W
2002,PETROLEUM CRUDE OIL,7.0,2943664,9035589
2002,CRUDE OIL,12.0,300712,914867
2002,CRUDE OIL,50.0,N37 15984',W109 18493'
2002,CRUDE OIL,5.0,37 08.02N,099 34.85W
2002,CRUDE OIL,5.0,33.913479,-98.434921
2002,CRUDE OIL,1.0,"29.13'.13""","89.23'.46"""
2002,CRUDE OIL,8.0,"41° 37' 31""","-86° 51' 26"""
2002,PETROLEUM CRUDE OIL,10.0,35.9410324,-96.7450943
2002,PETROLEUM CRUDE OIL,8.0,35.9796638,-96.5902252
2002,CRUDE OIL,3.0,N 30.02.842,W94.04.124
2002,CRUDE OIL,4.0,33D 48 11,118D 15 23
2002,CRUDE OIL,30.0,N31 36.075,W100 52.158
2002,CRUDE OIL,30.0,N34 22.95',"W100, 15.774"
2002,CRUDE OIL,30.0,N31 29.463,W100 52.308
2002,CRUDE OIL,6.0,N34 DEG 12.557,W97 DEG 32.629
2002,WATER/ CRUDE OIL MIX,5.0,33 DEG 48 MIN 9 SEC,118DEG 14MIN 9SEC
2002,CRUDE OIL,5.0,33.912909,-98.435656
2002,CRUDE OIL,1.0,46 49 MIN 12.89 SEC,-95 8 MIN 29.25 SEC
2002,CRUDE OIL,40.0,"N31 47"" 501'","W103 08"" 039'"
2002,CRUDE OIL,21.0,43.3694077,106.2761688
2002,CRUDE OIL,20.0,N34DEG 23.469 MIN,W097 DEG28.419MIN
2002,CRUDE OIL,3.0,36.049,120.1975
2002,CRUDE OIL,4.0,"46° 55' 40""","-92° 55' 59"""
2002,CRUDE OIL,3.0,27.74784,-97.75408
2002,CRUDE OIL,1.0,41.24600N,87.59450W
2002,CRUDE OIL,8.0,41.22181667N,83.64200000W
2002,CRUDE OIL,7.0,27 24.3' N,"98 5.8"" W"
2002,CRUDE OIL,21.0,N33 54.763',W117 54.941'
2002,CRUDE OIL,3.0,29.99682,93.9924
