IYEAR,COMMODITY_RELEASED_TYPE,CAUSE,LOCATION_LATITUDE,LOCATION_LONGITUDE,UNINTENTIONAL_RELEASE_BBLS,RELEASE LIT,RELEASE M3
2023,CRUDE OIL,INCORRECT OPERATION,28.46192043,-98.22423601,3.0,477.0,0.47700000000000004
2023,CRUDE OIL,EQUIPMENT FAILURE,30.000189,-90.847937,110.0,17490.0,17.490000000000002
2023,CRUDE OIL,OTHER ACCIDENT CAUSE,32.067561,-96.478837,0.7,111.3,0.1113
2023,CRUDE OIL,CORROSION FAILURE,29.035508,-89.273669,0.23,36.57,0.03657
2023,CRUDE OIL,INCORRECT OPERATION,30.033762,-94.042506,2.0,318.0,0.318
2023,CRUDE OIL,CORROSION FAILURE,32.0209,-102.0162,0.36,57.239999999999995,0.05724
2023,CRUDE OIL,OTHER ACCIDENT CAUSE,32.070661,-96.468256,120.0,19080.0,19.080000000000002
2023,CRUDE OIL,EQUIPMENT FAILURE,32.9746128,-102.8499035,0.2,31.8,0.0318
2023,CRUDE OIL,EQUIPMENT FAILURE,30.48158,-97.39943,0.1,15.9,0.0159
2023,CRUDE OIL,OTHER ACCIDENT CAUSE,29.297222,-88.710555,291.0,46269.0,46.269
2023,CRUDE OIL,EQUIPMENT FAILURE,37.629156,-100.981269,0.5,79.5,0.0795
2023,CRUDE OIL,INCORRECT OPERATION,47.80189,-102.8909,55.0,8745.0,8.745000000000001
2023,CRUDE OIL,INCORRECT OPERATION,30.081541,-94.08026,0.47,74.72999999999999,0.07472999999999999
2023,CRUDE OIL,EQUIPMENT FAILURE,27.83019,-97.200641,0.12,19.08,0.01908
2023,CRUDE OIL,EQUIPMENT FAILURE,29.369329,-89.539139,1.0,159.0,0.159
2023,CRUDE OIL,EQUIPMENT FAILURE,38.340227,-98.311318,5.0,795.0,0.795
2023,CRUDE OIL,CORROSION FAILURE,29.743056,-95.128333,3.0,477.0,0.47700000000000004
2023,CRUDE OIL,CORROSION FAILURE,44.5119,-84.4703,82.0,13038.0,13.038
2023,CRUDE OIL,INCORRECT OPERATION,32.004507,-102.03968,36.0,5724.0,5.724
2023,CRUDE OIL,OTHER ACCIDENT CAUSE,31.751294,-103.629923,17.21,2736.3900000000003,2.7363900000000005
2023,CRUDE OIL,OTHER ACCIDENT CAUSE,31.939301,-103.678163,1.2,190.79999999999998,0.1908
2023,CRUDE OIL,CORROSION FAILURE,29.995038,-93.992932,0.5,79.5,0.0795
2023,CRUDE OIL,EQUIPMENT FAILURE,32.29114,-101.37367,36.5,5803.5,5.8035000000000005
2023,CRUDE OIL,INCORRECT OPERATION,30.0112,-94.060911,4.0,636.0,0.636
2023,CRUDE OIL,EQUIPMENT FAILURE,31.53102,-101.93209,1.71,271.89,0.27188999999999997
2023,CRUDE OIL,EQUIPMENT FAILURE,35.957623,-96.721892,0.24,38.16,0.03816
2023,CRUDE OIL,EQUIPMENT FAILURE,31.532208,-96.185686,1.0,159.0,0.159
2023,CRUDE OIL,INCORRECT OPERATION,36.016222,-96.757033,1220.0,193980.0,193.98000000000002
2023,CRUDE OIL,MATERIAL FAILURE OF PIPE OR WELD,28.408377,-98.211549,0.76,120.84,0.12084
2023,CRUDE OIL,INCORRECT OPERATION,31.88904914,-103.9569153,18.75,2981.25,2.98125
2023,CRUDE OIL,INCORRECT OPERATION,29.790171,-95.282065,1.0,159.0,0.159
2023,CRUDE OIL,CORROSION FAILURE,36.02184,-96.75489,1.0,159.0,0.159
2023,CRUDE OIL,EXCAVATION DAMAGE,35.657572,-97.582892,1684.0,267756.0,267.75600000000003
2023,CRUDE OIL,EQUIPMENT FAILURE,32.06376,-103.67632,0.3,47.699999999999996,0.0477
2023,CRUDE OIL,EQUIPMENT FAILURE,33.76711944,-118.1053333,0.25,39.75,0.03975
2023,CRUDE OIL,CORROSION FAILURE,32.15025,-101.97124,258.5,41101.5,41.1015
2023,CRUDE OIL,CORROSION FAILURE,29.736667,-93.824444,1.0,159.0,0.159
2023,CRUDE OIL,INCORRECT OPERATION,31.88904914,-103.9569153,21.0,3339.0,3.339
2023,CRUDE OIL,NATURAL FORCE DAMAGE,29.2079,-89.29649,0.1,15.9,0.0159
2023,CRUDE OIL,CORROSION FAILURE,29.332222,-91.870556,0.1,15.9,0.0159
2023,CRUDE OIL,CORROSION FAILURE,42.9013,-82.50885,0.6,95.39999999999999,0.0954
2023,CRUDE OIL,CORROSION FAILURE,29.7586,-96.1476,0.6,95.39999999999999,0.0954
2023,CRUDE OIL,CORROSION FAILURE,32.299831,-97.840641,5.0,795.0,0.795
2023,CRUDE OIL,CORROSION FAILURE,35.52774,-119.5668,34.0,5406.0,5.406
2023,CRUDE OIL,CORROSION FAILURE,29.99989112,-90.8385476,1.5,238.5,0.23850000000000002
2023,CRUDE OIL,CORROSION FAILURE,36.34202381,-98.91151904,25.0,3975.0,3.975
2023,CRUDE OIL,MATERIAL FAILURE OF PIPE OR WELD,33.86608,-97.96573,300.0,47700.0,47.7
2023,CRUDE OIL,EQUIPMENT FAILURE,29.991089,-93.993163,10.0,1590.0,1.59
2023,CRUDE OIL,CORROSION FAILURE,29.030131,-97.789485,21.4,3402.6,3.4026
2023,CRUDE OIL,CORROSION FAILURE,28.289912,-99.900908,10.0,1590.0,1.59
2023,CRUDE OIL,CORROSION FAILURE,31.148759,-102.93303,200.0,31800.0,31.8
2023,CRUDE OIL,CORROSION FAILURE,29.988186,-93.987212,13.0,2067.0,2.067
2023,CRUDE OIL,CORROSION FAILURE,29.059256,-89.301856,25.0,3975.0,3.975
2023,CRUDE OIL,CORROSION FAILURE,32.268079,-101.405006,3.0,477.0,0.47700000000000004
2023,CRUDE OIL,CORROSION FAILURE,38.093464,-98.581718,23.0,3657.0,3.657
2023,CRUDE OIL,EQUIPMENT FAILURE,32.040701,-94.820811,3.0,477.0,0.47700000000000004
2023,CRUDE OIL,CORROSION FAILURE,41.623703,-83.486666,28.0,4452.0,4.452
2023,CRUDE OIL,CORROSION FAILURE,29.70773894,-95.22354312,20.0,3180.0,3.18
2023,CRUDE OIL,INCORRECT OPERATION,29.26058,-89.19948,2.6,413.40000000000003,0.41340000000000005
2023,CRUDE OIL,EQUIPMENT FAILURE,32.483611,-94.830278,0.1,15.9,0.0159
2023,CRUDE OIL,OTHER ACCIDENT CAUSE,41.29919,-83.61619,2.0,318.0,0.318
2023,CRUDE OIL,CORROSION FAILURE,31.770482,-103.176936,0.5,79.5,0.0795
2023,CRUDE OIL,CORROSION FAILURE,32.002374,-102.046692,37.0,5883.0,5.883
2023,CRUDE OIL,EQUIPMENT FAILURE,29.998306,-93.990131,0.48,76.32,0.07632
2023,CRUDE OIL,CORROSION FAILURE,29.61026,-95.182479,6.0,954.0,0.9540000000000001
2023,CRUDE OIL,CORROSION FAILURE,27.821954,-97.514374,2.0,318.0,0.318
2023,CRUDE OIL,CORROSION FAILURE,33.208095,-92.62812,6.0,954.0,0.9540000000000001
2023,CRUDE OIL,INCORRECT OPERATION,31.51420075,-103.4553,3.8,604.1999999999999,0.6042
2023,CRUDE OIL,CORROSION FAILURE,32.01212,-102.01672,3.0,477.0,0.47700000000000004
2023,CRUDE OIL,EQUIPMENT FAILURE,41.565023,-109.980225,0.4,63.6,0.0636
2023,CRUDE OIL,EQUIPMENT FAILURE,37.808636,-96.916198,0.6,95.39999999999999,0.0954
2023,CRUDE OIL,EQUIPMENT FAILURE,42.85205,-106.357027,8.0,1272.0,1.272
2023,CRUDE OIL,EQUIPMENT FAILURE,32.438883,-94.825234,0.24,38.16,0.03816
2023,CRUDE OIL,EQUIPMENT FAILURE,30.103333,-91.809444,8.0,1272.0,1.272
2023,CRUDE OIL,CORROSION FAILURE,32.01212,-102.01672,49.8,7918.2,7.9182
2023,CRUDE OIL,EQUIPMENT FAILURE,27.875623,-91.986519,0.23,36.57,0.03657
2023,CRUDE OIL,EQUIPMENT FAILURE,29.61569,-90.69316,0.19,30.21,0.03021
2023,CRUDE OIL,CORROSION FAILURE,36.003898,-96.444051,5.0,795.0,0.795
2023,CRUDE OIL,EQUIPMENT FAILURE,29.067838,-97.367731,1.69,268.71,0.26871
2023,CRUDE OIL,EQUIPMENT FAILURE,29.991722,-93.986597,6.0,954.0,0.9540000000000001
2023,CRUDE OIL,CORROSION FAILURE,37.862798,-85.716963,2.2,349.8,0.3498
2023,CRUDE OIL,EQUIPMENT FAILURE,30.000589,-93.992382,2.0,318.0,0.318
2023,CRUDE OIL,EQUIPMENT FAILURE,48.211942,-96.435319,0.12,19.08,0.01908
2023,CRUDE OIL,CORROSION FAILURE,32.0173,-102.0277,19.2,3052.7999999999997,3.0528
2023,CRUDE OIL,OTHER ACCIDENT CAUSE,35.93944,-96.73599999,4457.0,708663.0,708.663
2023,CRUDE OIL,CORROSION FAILURE,40.74448695,-89.03489181,2.0,318.0,0.318
2023,CRUDE OIL,CORROSION FAILURE,31.756944,-103.189166,4.0,636.0,0.636
2023,CRUDE OIL,CORROSION FAILURE,29.520838,-95.110297,0.5,79.5,0.0795
2023,CRUDE OIL,CORROSION FAILURE,34.566202,-97.446486,1500.0,238500.0,238.5
2023,CRUDE OIL,EQUIPMENT FAILURE,37.813344,-98.788267,0.12,19.08,0.01908
2023,CRUDE OIL,INCORRECT OPERATION,31.81868026,-101.6884896,3.6,572.4,0.5724
2023,CRUDE OIL,CORROSION FAILURE,34.986132,-97.774905,205.0,32595.0,32.595
2023,CRUDE OIL,CORROSION FAILURE,32.01212,-102.01672,2.76,438.84,0.43884
2023,CRUDE OIL,INCORRECT OPERATION,32.0209,-102.0162,1.0,159.0,0.159
2023,CRUDE OIL,CORROSION FAILURE,44.39767,-71.11766,145.0,23055.0,23.055
2023,CRUDE OIL,EXCAVATION DAMAGE,31.970749,-102.03276,4.5,715.5,0.7155
2023,CRUDE OIL,CORROSION FAILURE,33.90165113,-98.57571698,0.4,63.6,0.0636
2023,CRUDE OIL,OTHER OUTSIDE FORCE DAMAGE,30.05895,-93.622843,30.0,4770.0,4.7700000000000005
2023,CRUDE OIL,CORROSION FAILURE,33.80627,-118.22922,68.0,10812.0,10.812
2023,CRUDE OIL,OTHER ACCIDENT CAUSE,34.03203737,-118.4315673,110.0,17490.0,17.490000000000002
2023,CRUDE OIL,CORROSION FAILURE,33.91307,-98.43535,0.33,52.470000000000006,0.05247000000000001
2023,CRUDE OIL,MATERIAL FAILURE OF PIPE OR WELD,42.719019,-82.861316,4.0,636.0,0.636
2023,CRUDE OIL,CORROSION FAILURE,29.759722,-95.142361,4.0,636.0,0.636
2023,CRUDE OIL,CORROSION FAILURE,35.946089,-96.747961,5.0,795.0,0.795
2023,CRUDE OIL,OTHER ACCIDENT CAUSE,42.254454,-104.669554,21.0,3339.0,3.339
2023,CRUDE OIL,CORROSION FAILURE,30.001239,-93.986581,4.0,636.0,0.636
2023,CRUDE OIL,CORROSION FAILURE,35.441812,-119.280616,10.0,1590.0,1.59
2023,CRUDE OIL,CORROSION FAILURE,35.9469443,-96.7535934,4.0,636.0,0.636
2023,CRUDE OIL,CORROSION FAILURE,42.22382,-104.69756,2.0,318.0,0.318
2023,CRUDE OIL,EQUIPMENT FAILURE,29.24774467,-88.43933703,0.15,23.849999999999998,0.02385
2023,CRUDE OIL,INCORRECT OPERATION,31.843008,-102.031443,9583.0,1523697.0,1523.6970000000001
2023,CRUDE OIL,CORROSION FAILURE,38.792988,-89.084213,9.0,1431.0,1.431
2023,CRUDE OIL,EQUIPMENT FAILURE,32.068679,-96.468214,1094.0,173946.0,173.946
2023,CRUDE OIL,EQUIPMENT FAILURE,35.957687,-96.72199,10.0,1590.0,1.59
2023,CRUDE OIL,EQUIPMENT FAILURE,32.610176,-94.221463,0.29,46.11,0.04611
2023,CRUDE OIL,CORROSION FAILURE,32.0213285,-102.0165475,25.0,3975.0,3.975
2023,CRUDE OIL,EXCAVATION DAMAGE,33.847123,-101.570283,3.0,477.0,0.47700000000000004
2023,CRUDE OIL,EQUIPMENT FAILURE,31.661481,-103.722259,1.24,197.16,0.19716
2023,CRUDE OIL,OTHER OUTSIDE FORCE DAMAGE,35.407812,-96.938466,5.0,795.0,0.795
2023,CRUDE OIL,EQUIPMENT FAILURE,32.01792115,-102.0269531,4.1,651.9,0.6519
2023,CRUDE OIL,EQUIPMENT FAILURE,32.239435,-95.026853,2.0,318.0,0.318
2023,CRUDE OIL,EQUIPMENT FAILURE,31.634323,-103.643447,1.4,222.6,0.2226
2023,CRUDE OIL,MATERIAL FAILURE OF PIPE OR WELD,30.618611,-94.969908,30.0,4770.0,4.7700000000000005
2023,CRUDE OIL,EQUIPMENT FAILURE,28.390831,-99.259294,63.81,10145.79,10.145790000000002
2023,CRUDE OIL,EQUIPMENT FAILURE,32.007869,-102.212344,0.19,30.21,0.03021
2023,CRUDE OIL,CORROSION FAILURE,33.72999,-101.87244,0.3,47.699999999999996,0.0477
2023,CRUDE OIL,NATURAL FORCE DAMAGE,32.52218794,-103.5244149,2.0,318.0,0.318
2023,CRUDE OIL,EQUIPMENT FAILURE,34.422532,-118.584847,170.2,27061.8,27.061799999999998
2023,CRUDE OIL,EQUIPMENT FAILURE,29.74191667,-91.44263889,1.0,159.0,0.159
2023,CRUDE OIL,CORROSION FAILURE,32.876225,-91.052649,3.0,477.0,0.47700000000000004
2023,CRUDE OIL,EQUIPMENT FAILURE,32.011721,-102.011467,3.4,540.6,0.5406000000000001
2023,CRUDE OIL,CORROSION FAILURE,31.75843,-104.96252,12.2,1939.8,1.9398
2023,CRUDE OIL,EQUIPMENT FAILURE,32.47983,-94.83649,3.0,477.0,0.47700000000000004
2023,CRUDE OIL,EQUIPMENT FAILURE,32.288891,-102.161171,7.24,1151.16,1.1511600000000002
2023,CRUDE OIL,EQUIPMENT FAILURE,47.90524,-96.019121,0.26,41.34,0.04134
2023,CRUDE OIL,EQUIPMENT FAILURE,29.748,-95.1294,0.47,74.72999999999999,0.07472999999999999
2022,CRUDE OIL,EQUIPMENT FAILURE,29.7652,-95.1403,1.0,159.0,0.159
2022,CRUDE OIL,CORROSION FAILURE,32.48316,-94.83723,2.0,318.0,0.318
2022,CRUDE OIL,EQUIPMENT FAILURE,35.94068,-96.74897,3.0,477.0,0.47700000000000004
2022,CRUDE OIL,CORROSION FAILURE,29.450611,-90.266867,0.5,79.5,0.0795
2022,CRUDE OIL,EQUIPMENT FAILURE,31.53132,-96.18514,25.0,3975.0,3.975
2022,CRUDE OIL,MATERIAL FAILURE OF PIPE OR WELD,41.228104,-83.640085,1974.0,313866.0,313.866
2022,CRUDE OIL,EQUIPMENT FAILURE,35.930797,-96.767048,0.3,47.699999999999996,0.0477
2022,CRUDE OIL,EQUIPMENT FAILURE,41.828611,-104.353611,35.0,5565.0,5.565
2022,CRUDE OIL,CORROSION FAILURE,32.48316,-94.83723,75.0,11925.0,11.925
2022,CRUDE OIL,EQUIPMENT FAILURE,31.296661,-86.882673,0.48,76.32,0.07632
2022,CRUDE OIL,CORROSION FAILURE,31.9444,-101.9189,0.24,38.16,0.03816
2022,CRUDE OIL,OTHER OUTSIDE FORCE DAMAGE,32.02032,-102.01808,300.0,47700.0,47.7
2022,CRUDE OIL,MATERIAL FAILURE OF PIPE OR WELD,39.842201,-96.995547,12937.0,2056983.0,2056.983
